[2022-04-05 01:50:13,948] apscheduler.scheduler:[INFO]:[base:add_job:444]:[MainProcess:14172]:Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2022-04-05 01:50:13,949] apscheduler.scheduler:[INFO]:[base:_real_add_job:885]:[MainProcess:14172]:Added job "upload_prescription_job" to job store "default"
[2022-04-05 01:50:13,949] apscheduler.scheduler:[INFO]:[base:start:171]:[MainProcess:14172]:Scheduler started
[2022-04-05 02:03:13,952] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:04:13 CST)" (scheduled at 2022-04-05 02:03:13.948623+08:00)
[2022-04-05 02:03:13,974] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:04:13 CST)" executed successfully
[2022-04-05 02:04:13,957] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:05:13 CST)" (scheduled at 2022-04-05 02:04:13.948623+08:00)
[2022-04-05 02:04:14,031] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:05:13 CST)" executed successfully
[2022-04-05 02:05:13,951] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:06:13 CST)" (scheduled at 2022-04-05 02:05:13.948623+08:00)
[2022-04-05 02:05:14,030] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:06:13 CST)" executed successfully
[2022-04-05 02:06:13,957] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:07:13 CST)" (scheduled at 2022-04-05 02:06:13.948623+08:00)
[2022-04-05 02:06:14,031] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:07:13 CST)" executed successfully
[2022-04-05 02:07:13,955] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:08:13 CST)" (scheduled at 2022-04-05 02:07:13.948623+08:00)
[2022-04-05 02:07:14,004] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:08:13 CST)" executed successfully
[2022-04-05 02:08:13,952] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:09:13 CST)" (scheduled at 2022-04-05 02:08:13.948623+08:00)
[2022-04-05 02:08:14,031] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:09:13 CST)" executed successfully
[2022-04-05 02:09:13,950] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:10:13 CST)" (scheduled at 2022-04-05 02:09:13.948623+08:00)
[2022-04-05 02:09:13,996] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:10:13 CST)" executed successfully
[2022-04-05 02:10:13,950] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:11:13 CST)" (scheduled at 2022-04-05 02:10:13.948623+08:00)
[2022-04-05 02:10:14,006] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:11:13 CST)" executed successfully
[2022-04-05 02:11:13,951] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:12:13 CST)" (scheduled at 2022-04-05 02:11:13.948623+08:00)
[2022-04-05 02:11:13,976] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:12:13 CST)" executed successfully
[2022-04-05 02:12:13,955] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:13:13 CST)" (scheduled at 2022-04-05 02:12:13.948623+08:00)
[2022-04-05 02:12:14,010] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:13:13 CST)" executed successfully
[2022-04-05 02:13:13,957] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:14:13 CST)" (scheduled at 2022-04-05 02:13:13.948623+08:00)
[2022-04-05 02:13:14,005] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:14:13 CST)" executed successfully
[2022-04-05 02:14:13,955] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:15:13 CST)" (scheduled at 2022-04-05 02:14:13.948623+08:00)
[2022-04-05 02:14:13,989] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:15:13 CST)" executed successfully
[2022-04-05 02:15:13,966] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:16:13 CST)" (scheduled at 2022-04-05 02:15:13.948623+08:00)
[2022-04-05 02:15:14,006] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:16:13 CST)" executed successfully
[2022-04-05 02:16:13,967] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:17:13 CST)" (scheduled at 2022-04-05 02:16:13.948623+08:00)
[2022-04-05 02:16:14,062] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:17:13 CST)" executed successfully
[2022-04-05 02:17:13,965] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:18:13 CST)" (scheduled at 2022-04-05 02:17:13.948623+08:00)
[2022-04-05 02:17:14,082] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:18:13 CST)" executed successfully
[2022-04-05 02:18:13,961] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:19:13 CST)" (scheduled at 2022-04-05 02:18:13.948623+08:00)
[2022-04-05 02:18:14,050] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:19:13 CST)" executed successfully
[2022-04-05 02:19:13,974] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:20:13 CST)" (scheduled at 2022-04-05 02:19:13.948623+08:00)
[2022-04-05 02:19:14,049] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:20:13 CST)" executed successfully
[2022-04-05 02:20:13,977] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:21:13 CST)" (scheduled at 2022-04-05 02:20:13.948623+08:00)
[2022-04-05 02:20:14,104] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:21:13 CST)" executed successfully
[2022-04-05 02:21:13,963] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:22:13 CST)" (scheduled at 2022-04-05 02:21:13.948623+08:00)
[2022-04-05 02:21:14,014] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:22:13 CST)" executed successfully
[2022-04-05 02:22:13,964] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:23:13 CST)" (scheduled at 2022-04-05 02:22:13.948623+08:00)
[2022-04-05 02:22:13,993] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:23:13 CST)" executed successfully
[2022-04-05 02:23:13,954] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:24:13 CST)" (scheduled at 2022-04-05 02:23:13.948623+08:00)
[2022-04-05 02:23:13,989] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:24:13 CST)" executed successfully
[2022-04-05 02:24:13,951] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:25:13 CST)" (scheduled at 2022-04-05 02:24:13.948623+08:00)
[2022-04-05 02:24:13,990] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:25:13 CST)" executed successfully
[2022-04-05 02:25:13,964] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:26:13 CST)" (scheduled at 2022-04-05 02:25:13.948623+08:00)
[2022-04-05 02:25:14,038] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:26:13 CST)" executed successfully
[2022-04-05 02:26:13,963] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:27:13 CST)" (scheduled at 2022-04-05 02:26:13.948623+08:00)
[2022-04-05 02:26:14,037] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:27:13 CST)" executed successfully
[2022-04-05 02:27:13,965] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:28:13 CST)" (scheduled at 2022-04-05 02:27:13.948623+08:00)
[2022-04-05 02:27:14,004] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:28:13 CST)" executed successfully
[2022-04-05 02:28:13,954] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:29:13 CST)" (scheduled at 2022-04-05 02:28:13.948623+08:00)
[2022-04-05 02:28:13,985] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:29:13 CST)" executed successfully
[2022-04-05 02:29:13,957] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:30:13 CST)" (scheduled at 2022-04-05 02:29:13.948623+08:00)
[2022-04-05 02:29:14,006] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:30:13 CST)" executed successfully
[2022-04-05 02:30:13,964] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:31:13 CST)" (scheduled at 2022-04-05 02:30:13.948623+08:00)
[2022-04-05 02:30:14,007] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:31:13 CST)" executed successfully
[2022-04-05 02:31:13,960] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:32:13 CST)" (scheduled at 2022-04-05 02:31:13.948623+08:00)
[2022-04-05 02:31:14,038] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:32:13 CST)" executed successfully
[2022-04-05 02:32:13,953] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:33:13 CST)" (scheduled at 2022-04-05 02:32:13.948623+08:00)
[2022-04-05 02:32:14,052] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:33:13 CST)" executed successfully
[2022-04-05 02:33:13,961] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:34:13 CST)" (scheduled at 2022-04-05 02:33:13.948623+08:00)
[2022-04-05 02:33:13,996] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:34:13 CST)" executed successfully
[2022-04-05 02:34:13,975] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:35:13 CST)" (scheduled at 2022-04-05 02:34:13.948623+08:00)
[2022-04-05 02:34:14,047] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:35:13 CST)" executed successfully
[2022-04-05 02:35:13,984] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:36:13 CST)" (scheduled at 2022-04-05 02:35:13.948623+08:00)
[2022-04-05 02:35:14,088] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:36:13 CST)" executed successfully
[2022-04-05 02:36:13,979] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:37:13 CST)" (scheduled at 2022-04-05 02:36:13.948623+08:00)
[2022-04-05 02:36:14,104] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:37:13 CST)" executed successfully
[2022-04-05 02:37:13,978] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:38:13 CST)" (scheduled at 2022-04-05 02:37:13.948623+08:00)
[2022-04-05 02:37:14,070] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:38:13 CST)" executed successfully
[2022-04-05 02:38:13,958] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:39:13 CST)" (scheduled at 2022-04-05 02:38:13.948623+08:00)
[2022-04-05 02:38:13,994] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:39:13 CST)" executed successfully
[2022-04-05 02:39:13,965] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:40:13 CST)" (scheduled at 2022-04-05 02:39:13.948623+08:00)
[2022-04-05 02:39:14,044] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:40:13 CST)" executed successfully
[2022-04-05 02:40:13,978] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:41:13 CST)" (scheduled at 2022-04-05 02:40:13.948623+08:00)
[2022-04-05 02:40:14,043] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:41:13 CST)" executed successfully
[2022-04-05 02:41:13,966] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:42:13 CST)" (scheduled at 2022-04-05 02:41:13.948623+08:00)
[2022-04-05 02:41:13,998] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:42:13 CST)" executed successfully
[2022-04-05 02:42:13,966] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:43:13 CST)" (scheduled at 2022-04-05 02:42:13.948623+08:00)
[2022-04-05 02:42:14,057] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:43:13 CST)" executed successfully
[2022-04-05 02:43:13,967] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:44:13 CST)" (scheduled at 2022-04-05 02:43:13.948623+08:00)
[2022-04-05 02:43:14,057] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:44:13 CST)" executed successfully
[2022-04-05 02:44:13,954] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:45:13 CST)" (scheduled at 2022-04-05 02:44:13.948623+08:00)
[2022-04-05 02:44:14,035] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:45:13 CST)" executed successfully
[2022-04-05 02:45:13,970] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:46:13 CST)" (scheduled at 2022-04-05 02:45:13.948623+08:00)
[2022-04-05 02:45:14,452] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:46:13 CST)" executed successfully
[2022-04-05 06:55:25,128] apscheduler.scheduler:[INFO]:[base:add_job:444]:[MainProcess:2496]:Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2022-04-05 06:55:25,130] apscheduler.scheduler:[INFO]:[base:_real_add_job:885]:[MainProcess:2496]:Added job "upload_prescription_job" to job store "default"
[2022-04-05 06:55:25,130] apscheduler.scheduler:[INFO]:[base:start:171]:[MainProcess:2496]:Scheduler started
[2022-04-05 06:56:25,145] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:2496]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 06:56:25 CST)" (scheduled at 2022-04-05 06:56:25.128378+08:00)
[2022-04-05 06:56:25,182] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:2496]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 06:57:25 CST)" executed successfully
